SITE,TAG,SPP,diameter_2017,diameter_2018,diameter_2019
8a,955,TaxDis,81.24,81.53,81.7
8a,956,TaxDis,19.79,20.1,20.29
8a,957,TaxDis,52.8,53.05,53.05
8a,960,TaxDis,5.23,5.8,6.1
8a,961,TaxDis,51.7,51.7,51.7
8a,976,TaxDis,11,11.34,11.52
8a,1028,TaxDis,40.9,41.05,41.13
8a,1029,TaxDis,73.2,73.3,73.41
8a,1030,TaxDis,5.4,5.7,5.92
8a,1101,TaxDis,57.5,58.19,58.85
8b,1005,NysAqu,18.19,18.29,18.43
8b,1006,NysAqu,25.03,25.1,25.21
8b,1007,NysAqu,46,46.17,46.86
8b,1008,NysAqu,5.77,5.77,5.78
8b,1009,NysAqu,27.22,27.28,27.35
8b,1010,NysAqu,25,25.14,25.28
8b,1011,NysAqu,32.09,32.14,32.22
8b,1012,NysAqu,16.79,16.79,16.8
8b,1013,NysAqu,16.48,16.58,16.69
8b,1014,NysAqu,14.04,14.04,14.04
8b,1015,NysAqu,7.19,7.25,7.32
8b,1016,NysAqu,9.69,9.72,9.77
8b,1017,NysAqu,19.02,19.03,19.05
8b,1018,NysAqu,4.05,4.11,4.2
8b,1019,NysAqu,18.8,18.9,19
8b,1032,NysAqu,27.25,27.25,27.25
8b,1033,NysAqu,9.92,9.98,10
8b,1034,NysAqu,19.69,19.73,19.85
8b,1035,NysAqu,35.5,35.55,35.93
8b,1036,NysAqu,32.18,32.3,32.43
8b,1037,NysAqu,34.19,34.2,34.25
8b,1038,NysAqu,20,20,20.06
8b,1039,NysAqu,9.15,9.35,9.85
8b,1040,NysAqu,7.31,7.44,7.6
8b,1041,NysAqu,13.34,13.48,13.65
8b,1042,NysAqu,22.09,22.2,22.45
8b,1043,NysAqu,10.99,11,11.04
8b,1044,NysAqu,31.5,31.8,31.95
8b,1045,NysAqu,15.7,15.7,15.7
8b,1046,NysAqu,19.73,19.74,19.75
8b,1070,NysAqu,25.09,25.34,25.41
8b,1103,NysAqu,49.14,49.4,49.75
8b,1104,NysAqu,47,47.18,47.76
8b,1107,NysAqu,42.6,43.3,43.5
8b,1108,NysAqu,38.53,38.6,38.69
8b,1109,NysAqu,35.99,36.1,36.2
8b,1110,NysAqu,15.84,16.92,16
8b,1112,NysAqu,30.92,31.2,31.24
8b,1113,NysAqu,42.83,42.96,43.2
8b,1115,NysAqu,6.98,6.98,6.99
8b,1116,NysAqu,32.58,32.8,33.1
8b,1118,NysAqu,23.96,24.03,24.11
8b,1119,NysAqu,4.41,4.41,4.41
8b,1120,NysAqu,61.08,61.1,61.11
8b,1127,NysAqu,8.18,8.22,8.3
8b,1134,NysAqu,31.39,31.6,31.9
8b,1136,NysAqu,12.27,12.34,12.45
8b,1137,NysAqu,33.18,33.61,33.68
8b,1002,TaxDis,24.17,24.5,25.17
8b,1003,TaxDis,16.27,16.49,16.7
8b,1004,TaxDis,19.69,20.2,20.47
8b,1031,TaxDis,66.91,67.14,67.21
8b,1105,TaxDis,40.98,41.3,41.65
8b,1111,TaxDis,6.45,6.75,7.05
